A,EstadoA,B,EstadoB
ADAMANTINA,SP,FLÓRIDA PAULISTA,SP
ADAMANTINA,SP,LUCÉLIA,SP
ADAMANTINA,SP,MARIÁPOLIS,SP
ADAMANTINA,SP,VALPARAÍSO,SP
ADOLFO,SP,GUAIÇARA,SP
ADOLFO,SP,MENDONÇA,SP
ADOLFO,SP,PROMISSÃO,SP
ADOLFO,SP,SABINO,SP
ADOLFO,SP,SALES,SP
ADOLFO,SP,UBARANA,SP
AGUAÍ,SP,CASA BRANCA,SP
AGUAÍ,SP,ESPÍRITO SANTO DO PINHAL,SP
AGUAÍ,SP,LEME,SP
AGUAÍ,SP,MOGI GUAÇU,SP
AGUAÍ,SP,PIRASSUNUNGA,SP
AGUAÍ,SP,SANTA CRUZ DAS PALMEIRAS,SP
AGUAÍ,SP,SÃO JOÃO DA BOA VISTA,SP
AGUAÍ,SP,VARGEM GRANDE DO SUL,SP
ÁGUAS DA PRATA,SP,SÃO JOÃO DA BOA VISTA,SP
ÁGUAS DA PRATA,SP,SÃO SEBASTIÃO DA GRAMA,SP
ÁGUAS DA PRATA,SP,VARGEM GRANDE DO SUL,SP
ÁGUAS DA PRATA,SP,POÇOS DE CALDAS,MG
ÁGUAS DE LINDÓIA,SP,ITAPIRA,SP
ÁGUAS DE LINDÓIA,SP,LINDÓIA,SP
ÁGUAS DE LINDÓIA,SP,SOCORRO,SP
ÁGUAS DE LINDÓIA,SP,MONTE SIÃO,MG
ÁGUAS DE SANTA BÁRBARA,SP,AGUDOS,SP
ÁGUAS DE SANTA BÁRBARA,SP,CERQUEIRA CÉSAR,SP
ÁGUAS DE SANTA BÁRBARA,SP,IARAS,SP
ÁGUAS DE SANTA BÁRBARA,SP,MANDURI,SP
ÁGUAS DE SANTA BÁRBARA,SP,ÓLEO,SP
ÁGUAS DE SANTA BÁRBARA,SP,SANTA CRUZ DO RIO PARDO,SP
AGUDOS,SP,BAURU,SP
AGUDOS,SP,BOREBI,SP
AGUDOS,SP,ESPÍRITO SANTO DO TURVO,SP
AGUDOS,SP,IARAS,SP
AGUDOS,SP,LENÇÓIS PAULISTA,SP
AGUDOS,SP,PAULISTÂNIA,SP
AGUDOS,SP,PEDERNEIRAS,SP
AGUDOS,SP,PIRATININGA,SP
AGUDOS,SP,SANTA CRUZ DO RIO PARDO,SP
ALAMBARI,SP,CAPELA DO ALTO,SP
ALAMBARI,SP,ITAPETININGA,SP
ALAMBARI,SP,SARAPUÍ,SP
ALAMBARI,SP,TATUÍ,SP
ALFREDO MARCONDES,SP,ÁLVARES MACHADO,SP
ALFREDO MARCONDES,SP,PRESIDENTE BERNARDES,SP
ALFREDO MARCONDES,SP,PRESIDENTE PRUDENTE,SP
ALFREDO MARCONDES,SP,SANTO EXPEDITO,SP
ALTAIR,SP,GUAPIAÇU,SP
ALTAIR,SP,GUARACI,SP
ALTAIR,SP,ICÉM,SP
ALTAIR,SP,NOVA GRANADA,SP
ALTAIR,SP,OLÍMPIA,SP
ALTAIR,SP,ONDA VERDE,SP
ALTINÓPOLIS,SP,BATATAIS,SP
ALTINÓPOLIS,SP,BRODOWSKI,SP
ALTINÓPOLIS,SP,CAJURU,SP
ALTINÓPOLIS,SP,PATROCÍNIO PAULISTA,SP
ALTINÓPOLIS,SP,SANTA CRUZ DA ESPERANÇA,SP
ALTINÓPOLIS,SP,SANTO ANTÔNIO DA ALEGRIA,SP
ALTINÓPOLIS,SP,SERRA AZUL,SP
ALTINÓPOLIS,SP,SERRANA,SP
ALTINÓPOLIS,SP,SÃO SEBASTIÃO DO PARAÍSO,MG
ALTO ALEGRE,SP,AVANHANDAVA,SP
ALTO ALEGRE,SP,BRAÚNA,SP
ALTO ALEGRE,SP,GETULINA,SP
ALTO ALEGRE,SP,LUIZIÂNIA,SP
ALTO ALEGRE,SP,PENÁPOLIS,SP
ALTO ALEGRE,SP,PROMISSÃO,SP
ALUMÍNIO,SP,IBIÚNA,SP
ALUMÍNIO,SP,MAIRINQUE,SP
ALUMÍNIO,SP,SOROCABA,SP
ALUMÍNIO,SP,VOTORANTIM,SP
ÁLVARES FLORENCE,SP,AMÉRICO DE CAMPOS,SP
ÁLVARES FLORENCE,SP,CARDOSO,SP
ÁLVARES FLORENCE,SP,COSMORAMA,SP
ÁLVARES FLORENCE,SP,PARISI,SP
ÁLVARES FLORENCE,SP,PEDRANÓPOLIS,SP
ÁLVARES FLORENCE,SP,PONTES GESTAL,SP
ÁLVARES FLORENCE,SP,VOTUPORANGA,SP
ÁLVARES MACHADO,SP,PIRAPOZINHO,SP
ÁLVARES MACHADO,SP,PRESIDENTE BERNARDES,SP
ÁLVARES MACHADO,SP,PRESIDENTE PRUDENTE,SP
ÁLVARES MACHADO,SP,TARABAI,SP
ÁLVARO DE CARVALHO,SP,GARÇA,SP
ÁLVARO DE CARVALHO,SP,GUARANTÃ,SP
ÁLVARO DE CARVALHO,SP,JÚLIO MESQUITA,SP
ÁLVARO DE CARVALHO,SP,MARÍLIA,SP
ÁLVARO DE CARVALHO,SP,PIRAJUÍ,SP
ÁLVARO DE CARVALHO,SP,VERA CRUZ,SP
ALVINLÂNDIA,SP,GÁLIA,SP
ALVINLÂNDIA,SP,GARÇA,SP
ALVINLÂNDIA,SP,LUPÉRCIO,SP
ALVINLÂNDIA,SP,SÃO PEDRO DO TURVO,SP
ALVINLÂNDIA,SP,UBIRAJARA,SP
AMERICANA,SP,COSMÓPOLIS,SP
AMERICANA,SP,LIMEIRA,SP
AMERICANA,SP,NOVA ODESSA,SP
AMERICANA,SP,PAULÍNIA,SP
AMERICANA,SP,SANTA BÁRBARA D'OESTE,SP
AMÉRICO BRASILIENSE,SP,ARARAQUARA,SP
AMÉRICO BRASILIENSE,SP,RINCÃO,SP
AMÉRICO BRASILIENSE,SP,SANTA LÚCIA,SP
AMÉRICO BRASILIENSE,SP,SÃO CARLOS,SP
AMÉRICO DE CAMPOS,SP,CARDOSO,SP
AMÉRICO DE CAMPOS,SP,COSMORAMA,SP
AMÉRICO DE CAMPOS,SP,PALESTINA,SP
AMÉRICO DE CAMPOS,SP,PONTES GESTAL,SP
AMPARO,SP,ITAPIRA,SP
AMPARO,SP,MONTE ALEGRE DO SUL,SP
AMPARO,SP,MORUNGABA,SP
AMPARO,SP,PEDREIRA,SP
AMPARO,SP,SANTO ANTÔNIO DE POSSE,SP
AMPARO,SP,SERRA NEGRA,SP
AMPARO,SP,TUIUTI,SP
ANALÂNDIA,SP,CORUMBATAÍ,SP
ANALÂNDIA,SP,DESCALVADO,SP
ANALÂNDIA,SP,ITIRAPINA,SP
ANALÂNDIA,SP,PIRASSUNUNGA,SP
ANALÂNDIA,SP,SANTA CRUZ DA CONCEIÇÃO,SP
ANALÂNDIA,SP,SÃO CARLOS,SP
ANDRADINA,SP,CASTILHO,SP
ANDRADINA,SP,GUARAÇAÍ,SP
